Year,Month,ICO Composite Price
1990,Jan,62.75
1990,Feb,67.01
1990,Mar,75.25
1990,Apr,75.34
1990,May,73.3
1990,Jun,69.91
1990,Jul,68.36
1990,Aug,74.1
1990,Sep,75.55
1990,Oct,73.89
1990,Nov,70.1
1990,Dec,72.83
1991,Jan,69.38
1991,Feb,70.55
1991,Mar,72.47
1991,Apr,71.45
1991,May,67.47
1991,Jun,65.58
1991,Jul,64.31
1991,Aug,63.34
1991,Sep,66.86
1991,Oct,62.83
1991,Nov,64.3
1991,Dec,63.07
1992,Jan,61.12
1992,Feb,55.51
1992,Mar,56.48
1992,Apr,53.64
1992,May,49.27
1992,Jun,48.13
1992,Jul,48.7
1992,Aug,45.89
1992,Sep,47.11
1992,Oct,52.88
1992,Nov,57.49
1992,Dec,64
1993,Jan,58.14
1993,Feb,57.32
1993,Mar,54.76
1993,Apr,51.38
1993,May,54.18
1993,Jun,54.54
1993,Jul,60.61
1993,Aug,67.69
1993,Sep,71.64
1993,Oct,67.78
1993,Nov,70.03
1993,Dec,71.5
1994,Jan,69.17
1994,Feb,72.37
1994,Mar,76.11
1994,Apr,81.19
1994,May,108.42
1994,Jun,127.91
1994,Jul,191.44
1994,Aug,181.53
1994,Sep,202.39
1994,Oct,185.64
1994,Nov,168.12
1994,Dec,149.14
1995,Jan,152.08
1995,Feb,152.24
1995,Mar,162.73
1995,Apr,159.59
1995,May,155.96
1995,Jun,141.66
1995,Jul,132.71
1995,Aug,141.7
1995,Sep,124.76
1995,Oct,120.02
1995,Nov,117.99
1995,Dec,99.57
1996,Jan,100.33
1996,Feb,110.5
1996,Mar,105.89
1996,Apr,107.09
1996,May,110.24
1996,Jun,105.79
1996,Jul,99.97
1996,Aug,102.73
1996,Sep,96.52
1996,Oct,98.56
1996,Nov,97.14
1996,Dec,90.04
1997,Jan,100.03
1997,Feb,121.89
1997,Mar,137.47
1997,Apr,142.2
1997,May,180.44
1997,Jun,155.38
1997,Jul,135.04
1997,Aug,132.63
1997,Sep,132.51
1997,Oct,121.09
1997,Nov,118.16
1997,Dec,130.02
1998,Jan,130.61
1998,Feb,130.78
1998,Mar,119.93
1998,Apr,119.66
1998,May,114.23
1998,Jun,103.84
1998,Jul,97.32
1998,Aug,101.25
1998,Sep,95.82
1998,Oct,95.01
1998,Nov,98.26
1998,Dec,100.73
1999,Jan,97.62
1999,Feb,92.36
1999,Mar,89.4
1999,Apr,85.71
1999,May,89.51
1999,Jun,86.4
1999,Jul,78.2
1999,Aug,77.22
1999,Sep,71.94
1999,Oct,76.36
1999,Nov,88.22
1999,Dec,95.62
2000,Jan,82.14
2000,Feb,76.15
2000,Mar,73.49
2000,Apr,69.53
2000,May,69.23
2000,Jun,64.56
2000,Jul,64.08
2000,Aug,57.58
2000,Sep,57.3
2000,Oct,56.39
2000,Nov,52.17
2000,Dec,48.27
2001,Jan,49.19
2001,Feb,49.38
2001,Mar,48.51
2001,Apr,47.31
2001,May,49.38
2001,Jun,46.53
2001,Jul,43.07
2001,Aug,42.76
2001,Sep,41.17
2001,Oct,42.21
2001,Nov,44.24
2001,Dec,43.35
2002,Jan,43.46
2002,Feb,44.3
2002,Mar,49.49
2002,Apr,50.2
2002,May,47.3
2002,Jun,45.56
2002,Jul,44.7
2002,Aug,42.79
2002,Sep,47.96
2002,Oct,50.79
2002,Nov,54.68
2002,Dec,51.69
2003,Jan,54.04
2003,Feb,54.07
2003,Mar,49.61
2003,Apr,51.87
2003,May,53.19
2003,Jun,48.9
2003,Jul,50.89
2003,Aug,52.22
2003,Sep,54.1
2003,Oct,51.72
2003,Nov,49.8
2003,Dec,52.44
2004,Jan,58.68
2004,Feb,59.87
2004,Mar,60.8
2004,Apr,58.8
2004,May,59.91
2004,Jun,64.28
2004,Jul,58.46
2004,Aug,56.98
2004,Sep,61.47
2004,Oct,61.1
2004,Nov,67.74
2004,Dec,77.72
2005,Jan,79.35
2005,Feb,89.4
2005,Mar,101.44
2005,Apr,98.2
2005,May,99.78
2005,Jun,96.29
2005,Jul,88.48
2005,Aug,85.31
2005,Sep,78.79
2005,Oct,82.55
2005,Nov,85.93
2005,Dec,86.85
2006,Jan,101.2
2006,Feb,97.39
2006,Mar,92.76
2006,Apr,94.2
2006,May,90
2006,Jun,86.04
2006,Jul,88.57
2006,Aug,95.78
2006,Sep,95.98
2006,Oct,95.53
2006,Nov,103.48
2006,Dec,108.01
2007,Jan,105.81
2007,Feb,104.18
2007,Mar,100.09
2007,Apr,99.3
2007,May,100.09
2007,Jun,107.03
2007,Jul,106.2
2007,Aug,107.98
2007,Sep,113.2
2007,Oct,115.71
2007,Nov,114.43
2007,Dec,118.16
2008,Jan,122.33
2008,Feb,138.82
2008,Mar,136.17
2008,Apr,126.55
2008,May,126.76
2008,Jun,130.51
2008,Jul,132.78
2008,Aug,131.14
2008,Sep,126.69
2008,Oct,108.31
2008,Nov,107.88
2008,Dec,103.07
2009,Jan,108.39
2009,Feb,107.6
2009,Mar,105.87
2009,Apr,111.61
2009,May,123.05
2009,Jun,119.05
2009,Jul,112.9
2009,Aug,117.45
2009,Sep,116.4
2009,Oct,121.09
2009,Nov,119.67
2009,Dec,124.96
2010,Jan,126.85
2010,Feb,123.37
2010,Mar,125.3
2010,Apr,126.89
2010,May,128.1
2010,Jun,142.2
2010,Jul,153.41
2010,Aug,157.46
2010,Sep,163.61
2010,Oct,161.56
2010,Nov,173.9
2010,Dec,184.26
2011,Jan,197.35
2011,Feb,216.03
2011,Mar,224.33
2011,Apr,231.24
2011,May,227.97
2011,Jun,215.58
2011,Jul,210.36
2011,Aug,212.19
2011,Sep,213.04
2011,Oct,193.9
2011,Nov,193.66
2011,Dec,189.02
2012,Jan,188.9
2012,Feb,182.29
2012,Mar,167.77
2012,Apr,160.46
2012,May,157.68
2012,Jun,145.31
2012,Jul,159.07
2012,Aug,148.5
2012,Sep,151.28
2012,Oct,147.12
2012,Nov,136.35
2012,Dec,131.31
2013,Jan,135.38
2013,Feb,131.51
2013,Mar,131.38
2013,Apr,129.55
2013,May,126.96
2013,Jun,117.58
2013,Jul,118.93
2013,Aug,116.45
2013,Sep,111.82
2013,Oct,107.03
2013,Nov,100.99
2013,Dec,106.56
2014,Jan,110.75
2014,Feb,137.81
2014,Mar,165.03
2014,Apr,170.58
2014,May,163.94
2014,Jun,151.92
2014,Jul,152.5
2014,Aug,163.08
2014,Sep,161.79
2014,Oct,172.88
2014,Nov,162.17
2014,Dec,150.66
2015,Jan,148.24
2015,Feb,141.1
2015,Mar,127.04
2015,Apr,129.02
2015,May,123.49
2015,Jun,124.97
2015,Jul,119.77
2015,Aug,121.21
2015,Sep,113.14
2015,Oct,118.43
2015,Nov,115.03
2015,Dec,114.63
2016,Jan,110.89
2016,Feb,111.75
2016,Mar,117.83
2016,Apr,117.93
2016,May,119.91
2016,Jun,127.05
2016,Jul,132.98
2016,Aug,131
2016,Sep,138.22
2016,Oct,142.68
2016,Nov,145.82
2016,Dec,131.7
2017,Jan,139.07
2017,Feb,137.68
2017,Mar,134.07
2017,Apr,130.39
2017,May,125.4
2017,Jun,122.39
2017,Jul,127.26
2017,Aug,128.24
2017,Sep,124.46
2017,Oct,120.01
2017,Nov,117.26
2017,Dec,114
2018,Jan,115.6
2018,Feb,114.19
2018,Mar,112.99
2018,Apr,112.56
2018,May,113.34
2018,Jun,110.44
2018,Jul,107.2
2018,Aug,102.41
2018,Sep,98.17
2018,Oct,111.21
2018,Nov,109.59
2018,Dec,100.61
2019,Jan,101.56
2019,Feb,100.67
2019,Mar,97.5
2019,Apr,94.42
2019,May,93.33
2019,Jun,99.97
2019,Jul,103.01
2019,Aug,96.07
2019,Sep,97.74
2019,Oct,97.35
2019,Nov,107.23
2019,Dec,117.37
2020,Jan,NaN
2020,Feb,NaN
2020,Mar,NaN
2020,Apr,NaN
2020,May,NaN
2020,Jun,NaN
2020,Jul,NaN
2020,Aug,NaN
2020,Sep,NaN
2020,Oct,NaN
2020,Nov,NaN
2020,Dec,NaN
2021,Jan,NaN
2021,Feb,NaN
2021,Mar,NaN
2021,Apr,NaN
2021,May,NaN
2021,Jun,NaN
2021,Jul,NaN
2021,Aug,NaN
2021,Sep,NaN
2021,Oct,NaN
2021,Nov,NaN
2021,Dec,NaN
2022,Jan,NaN
2022,Feb,NaN
2022,Mar,NaN
2022,Apr,NaN
2022,May,NaN
2022,Jun,NaN
2022,Jul,NaN
2022,Aug,NaN
2022,Sep,NaN
2022,Oct,NaN
2022,Nov,NaN
2022,Dec,NaN